run_id,mode,n_chunks,store_ops,retries,time_ms
36c2eb6b,durable-local,10,0,0,535
e51ae737,durable-local,10,0,0,529
0e7b6c46,durable-local,10,0,0,535
61b28b76,durable-local,10,0,0,532
f79cc696,durable-local,10,0,0,532
178e57d7,durable-local,10,0,0,524
f79aa8c9,durable-local,10,0,0,530
d2da4a3c,durable-local,10,0,0,524
a583e2f3,durable-local,10,0,0,527
efcce971,durable-local,10,0,0,535
b427b3f4,baseline-local,10,53,0,162
b427b3f4,baseline-local,10,53,0,162
f7577a2c,baseline-local,10,69,0,220
f7577a2c,baseline-local,10,69,0,220
2d26fa2b,baseline-local,10,57,0,161
2d26fa2b,baseline-local,10,57,0,161
68a38946,baseline-local,10,61,0,160
68a38946,baseline-local,10,61,0,160
ff9f82b2,baseline-local,10,73,0,265
ff9f82b2,baseline-local,10,73,0,265
5c5da48c,baseline-local,10,65,0,209
5c5da48c,baseline-local,10,65,0,209
e5473caf,baseline-local,10,53,0,158
e5473caf,baseline-local,10,53,0,158
2238ab24,baseline-local,10,57,0,165
2238ab24,baseline-local,10,57,0,165
e2148017,baseline-local,10,69,0,212
e2148017,baseline-local,10,69,0,212
0b7a114c,baseline-local,10,69,0,262
0b7a114c,baseline-local,10,69,0,262
